      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 18   00:08:14   514      0   00:12:56   517      0
 17   00:26:09  1648      0   01:33:47   813      0
 16   00:05:01   196      0   00:16:44   136      0
 15   00:15:12   471      0   00:45:12   545      0
 14   00:12:24   907      0   00:23:51   344      0
 13   00:24:35  2589      0   00:25:18   766      0
 12   00:33:29  3905      0   00:46:40  1305      0
 11   00:04:31   477      0   00:09:03   257      0
 10   00:11:38  1367      0   00:14:53  1238      0
  9   00:17:57  1644      0   00:36:05   973      0
  8   00:11:10   910      0   00:14:47   626      0
  7   00:05:42   555      0   00:08:26   522      0
  6   00:07:23   624      0   00:30:16  1613      0
  5   00:04:50   343      0   00:07:05   238      0
  4   00:08:50  1347      0   00:13:12   721      0
  3   00:01:59   215      0   00:05:18   272      0
  2   00:03:55   230      0   00:06:32   277      0
  1   00:01:30   123      0   00:02:51   147      0
