      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   01:10:47  1655      0   01:10:50  1420      0
 24   00:33:49   619      0   00:47:06    45     56
 23   00:23:58   861      0   01:39:03  1142      0
 22   00:38:52   622      0   01:09:00   992      0
 21   00:04:40    94      7   05:31:59  2538      0
 20   00:34:58   415      0   00:56:31   251      0
 19   00:18:26   601      0   01:04:27  1075      0
 18   00:22:22   943      0   00:36:03   473      0
 17   00:26:41   587      0   00:32:22   475      0
 16   00:14:02   226      0   00:18:54   232      0
 15   00:03:18   450      0   00:23:41  1371      0
 14   00:12:23  1656      0   00:34:16   861      0
 13   00:11:22   229      0   00:25:10   662      0
 12   00:13:47   375      0   01:04:09  1171      0
 11   00:09:03   340      0   00:15:48   540      0
 10   00:22:51   751      0   01:03:53   765      0
  9   00:17:19  3246      0   00:23:08  3232      0
  8   00:07:21  1177      0   00:51:19  3932      0
  7   00:29:02  2319      0   00:34:27  1226      0
  6   00:06:52  1205      0   00:14:15  2563      0
  5   00:10:29   230      0   00:39:01   395      0
  4   00:05:04   728      0   00:09:47   330      0
  3   00:31:12  3289      0   00:51:28  3566      0
  2   00:13:59  2531      0   00:17:46  2209      0
  1   00:04:29  1702      0   00:08:51   233      0
